"Source:","C:\Users\Joel\Projects\BreadboardLEDArray\BreadboardLEDArray.kicad_sch"
"Date:","2023-05-13 06:58:05"
"Tool:","Eeschema 7.0.2"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","10"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"D1, D2, D3, D4, D5, D6, D7, D8","8","LED","LED","LED_THT:LED_Rectangular_W5.0mm_H2.0mm","Light emitting diode","",""
"J1","1","9x1 pin header","Conn_01x09","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Horizontal","Generic connector, single row, 01x09, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"RN1","1","270 ohm resistor network","R_Network08_US","Resistor_THT:R_Array_SIP9","8 resistor network, star topology, bussed resistors, small US symbol","",""
